instance,n_jobs,n_machines,lb,ub,TT,total_ties,cpu_time_s,sequence
1,50,10,2907,3025,42773,0,7.885676,18 37 27 44 14 49 42 24 30 20 33 1 13 48 22 38 26 16 12 19 17 41 46 28 43 34 35 10 6 25 21 39 32 31 36 40 7 2 29 4 3 47 45 11 50 8 23 5 9 15
2,50,10,2821,2892,39748,0,7.175191,35 50 12 24 48 3 28 49 23 11 18 1 7 13 15 42 10 46 31 44 47 9 38 41 2 14 22 5 29 26 17 25 40 30 32 19 6 27 33 4 45 43 37 16 20 8 36 34 21 39
3,50,10,2801,2864,36992,0,6.753799,24 4 10 49 25 27 12 15 39 16 19 46 22 36 35 37 23 26 3 28 5 43 11 21 8 45 31 18 32 30 2 17 9 7 6 33 1 48 50 44 41 40 14 20 29 13 47 38 42 34
4,50,10,2968,3064,40053,0,7.708674,20 22 5 6 10 9 44 42 46 19 31 33 18 7 35 39 37 29 23 28 13 36 27 45 34 21 8 17 24 50 41 4 16 40 25 48 3 11 15 30 43 49 32 12 14 38 1 2 26 47
5,50,10,2908,2986,40746,0,7.112336,1 33 25 6 50 34 31 48 42 10 11 7 36 40 23 37 12 45 14 29 44 30 2 9 49 41 32 39 46 20 43 17 27 26 21 18 35 15 3 13 19 28 8 16 47 4 24 38 22 5
6,50,10,2941,3006,41461,0,7.874722,3 11 45 24 42 41 44 5 23 28 12 40 31 9 15 37 25 27 7 32 33 14 16 35 26 39 29 48 49 21 22 34 20 17 50 38 19 47 10 43 4 18 2 6 13 46 1 8 30 36
7,50,10,3062,3107,42107,0,7.56732,49 32 26 41 33 17 40 18 42 6 23 48 27 10 9 11 46 20 13 31 12 16 21 22 2 38 3 44 28 7 15 35 24 45 8 30 25 1 37 47 36 29 50 4 43 14 39 34 19 5
8,50,10,2959,3039,43035,0,7.069798,26 28 21 13 17 47 39 32 7 40 11 15 14 31 41 43 35 20 6 5 1 38 36 3 46 16 29 34 45 8 27 22 44 25 9 30 4 48 2 12 37 23 33 42 24 49 19 10 50 18
9,50,10,2795,2902,43828,0,7.903744,33 47 45 42 25 30 18 44 38 13 50 36 20 15 2 40 17 49 10 1 26 39 4 48 6 35 5 31 28 37 29 21 22 34 27 14 12 9 43 32 8 7 24 23 46 16 11 41 19 3
10,50,10,3046,3091,42294,0,7.051548,44 49 17 38 19 40 21 41 15 2 10 14 27 9 7 39 12 20 45 23 29 30 28 24 8 22 13 11 42 18 46 32 16 34 3 43 36 37 1 26 47 33 6 50 4 48 25 31 35 5
