subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,46377,247349,1978,43,11.8679
50j_10m,instance_10.csv,45623,271522,1925,43,13.3482
50j_10m,instance_2.csv,43165,197251,1918,42,11.315
50j_10m,instance_3.csv,42289,246485,1796,43,12.8512
50j_10m,instance_4.csv,44992,251982,1900,42,12.7908
50j_10m,instance_5.csv,44817,256675,1944,40,9.5262
50j_10m,instance_6.csv,46534,243072,2015,42,11.0719
50j_10m,instance_7.csv,46253,254261,2023,43,12.2859
50j_10m,instance_8.csv,46613,220000,2053,45,10.4341
50j_10m,instance_9.csv,47383,232896,2034,44,9.9843
